name,vocation,level,exp
Arriioch,Royal Paladin,214,"159,036,525"
Koikuba,Master Sorcerer,241,"228,452,869"
Trid Zapin,Royal Paladin,203,"135,669,919"
Standi,Royal Paladin,224,"183,685,410"
Renkin,Royal Paladin,177,"90,210,922"
Shizerr,Master Sorcerer,194,"118,434,940"
Lumpy Edek,Elder Druid,184,"101,669,437"
Grekiska Gudinnan,Elder Druid,213,"157,197,626"
Stabbelina Kastarvapen,Royal Paladin,239,"223,650,983"
Achtungbaby,Royal Paladin,202,"135,309,787"
Mroczny Mi,Elder Druid,224,"182,817,870"
Ferero Vito,Elder Druid,177,"90,041,483"
Alleyez On Her,Elder Druid,193,"117,144,732"
Plys Areh,Master Sorcerer,184,"101,580,382"
Reizen pall,Royal Paladin,211,"152,663,182"
Wede,Master Sorcerer,239,"222,226,418"
Mahulda,Master Sorcerer,202,"133,608,344"
Devi King,Master Sorcerer,223,"181,905,564"
Oreisbek,Royal Paladin,177,"89,590,423"
Elasin,Elder Druid,193,"116,669,508"
Abmot,Elite Knight,184,"101,501,970"
Rossy Pierre Doll,Master Sorcerer,210,"151,785,156"
Epic King,Elder Druid,237,"216,763,030"
Bacon Hood,Royal Paladin,201,"132,581,906"
Mabdoon,Elite Knight,223,"180,037,914"
Midnightt Moon,Master Sorcerer,177,"89,540,046"
Ligroakhet Shaliin,Royal Paladin,193,"116,148,027"
Nymeri,Elder Druid,169,"78,750,993"
Mitarid,Elder Druid,183,"99,804,100"
Muszaed,Royal Paladin,210,"150,409,974"
Mistrz Zami,Royal Paladin,237,"216,646,487"
Falanar,Elite Knight,201,"131,574,759"
Grijze kip,Master Sorcerer,222,"177,508,728"
Shrymp,Elite Knight,176,"88,917,591"
Kyelon,Master Sorcerer,192,"114,919,925"
Mroczna Mi,Elite Knight,169,"78,316,471"
Divinro,Master Sorcerer,183,"99,235,958"
Wolinka,Elite Knight,209,"149,456,065"
Rich Pawcioo,Elite Knight,235,"213,178,498"
Narelii,Royal Paladin,200,"131,068,267"
Don Donek,Elite Knight,221,"175,207,842"
Dobrzon of Damora,Master Sorcerer,176,"88,512,595"
Lethordix,Elite Knight,192,"114,700,304"
Zamora Zellion,Master Sorcerer,169,"78,275,900"
Huz Zle,Elder Druid,182,"98,052,338"
Dyvio,Master Sorcerer,209,"149,163,850"
Sir Oberyn Martellq,Royal Paladin,235,"212,765,495"
Kotiss,Master Sorcerer,200,"130,873,730"
Aelopantaleon,Elder Druid,220,"174,962,715"
Demon Looki,Elder Druid,176,"88,439,866"
Phan Yolo,Elder Druid,191,"112,881,439"
Czarne Cro,Elder Druid,161,"67,862,610"
Devi Exee,Royal Paladin,169,"77,640,640"
Kime Mage,Master Sorcerer,182,"97,903,574"
Czeslaw Wkret,Master Sorcerer,209,"148,908,384"
Bloben,Master Sorcerer,200,"130,785,026"
Mocna Stojka,Knight,220,"174,011,587"
Groenten on Damora,Royal Paladin,175,"87,200,763"
Screame,Elite Knight,189,"109,117,409"
Tata ybmot,Elite Knight,161,"67,668,719"
Siradrin Biras,Master Sorcerer,168,"76,261,739"
Jogy Mis,Elite Knight,182,"97,514,982"
Elyks,Elder Druid,209,"147,909,090"
Boski Kozloski,Royal Paladin,200,"130,210,323"
Snowdin,Master Sorcerer,220,"173,341,628"
Luis Pompuje Nogi,Master Sorcerer,175,"87,039,357"
Savagestabbs of Healing,Elder Druid,189,"109,005,580"
Rahmul,Elder Druid,161,"67,429,030"
Patafian Palek,Royal Paladin,167,"75,882,747"
Jeffan,Elite Knight,182,"97,489,030"
Club Baron,Elite Knight,208,"147,714,249"
Krakowski Smog,Elder Druid,200,"129,741,901"
Cropper Siocher,Elder Druid,220,"173,147,697"
Plesnerr,Elite Knight,175,"86,495,750"
Edxavd,Royal Paladin,188,"107,765,983"
Ernesta,Druid,155,"60,121,515"
Profituje,Master Sorcerer,160,"66,778,836"
Burmistrz Skawiny,Elder Druid,166,"73,861,456"
Toxic Andre,Sorcerer,182,"97,458,933"
Devi Aran,Elder Druid,208,"147,548,563"
Uwazaj Koleszko,Royal Paladin,200,"129,399,063"
Nomsi,Royal Paladin,175,"86,422,265"
Kraku Croy,Master Sorcerer,187,"105,857,961"
Hvnzo,Royal Paladin,155,"59,859,883"
Jasio Drogi,Elite Knight,160,"66,498,593"
Hellarius,Master Sorcerer,165,"72,998,407"
Altaros,Elite Knight,181,"96,920,482"
Iumatvro,Royal Paladin,208,"146,888,303"
Zinnek,Sorcerer,198,"126,009,313"
Devi Ins,Elite Knight,174,"86,110,662"
Bisiuu,Master Sorcerer,186,"105,386,598"
Pink Pill,Royal Paladin,155,"59,855,395"
Barayevo,Elder Druid,160,"66,179,381"
Pszypadkowy,Royal Paladin,165,"72,757,247"
Dan Macabre,Master Sorcerer,181,"96,565,636"
Vuhtrilek esaa,Master Sorcerer,207,"143,923,655"
Blaffing,Royal Paladin,198,"125,830,650"
Fury Mad,Royal Paladin,174,"86,097,978"
Devi Wol,Elite Knight,186,"105,075,705"
Bubulec,Elder Druid,155,"59,763,460"
Adrius Vane,Elder Druid,160,"66,078,804"
Imagines,Royal Paladin,165,"72,576,069"
Shirkaan,Master Sorcerer,180,"94,562,088"
Krakowski Cartel,Master Sorcerer,207,"143,872,938"
Devi Kuczi,Elder Druid,198,"125,527,696"
Royal Feni,Royal Paladin,174,"86,084,316"
Passive Aggressive Healer,Elder Druid,186,"104,634,119"
Kornikowski,Elder Druid,155,"59,743,930"
Jamna Jika,Royal Paladin,159,"65,180,435"
Aveelan,Master Sorcerer,165,"72,399,529"
Opanowany drutek,Elder Druid,179,"93,917,355"
Gonminando,Elder Druid,197,"123,815,098"
Kvvymiinal,Master Sorcerer,174,"85,666,560"
Dziki Karcik,Elite Knight,186,"104,489,575"
Hero Maximus,Elite Knight,155,"59,734,946"
Devi Shad,Master Sorcerer,159,"64,753,521"
Feshir Hepta,Elder Druid,165,"72,229,541"
Ksavon,Elite Knight,179,"93,383,898"
Feromoneq,Elder Druid,196,"122,412,024"
Sleepy Dragon,Master Sorcerer,174,"85,463,339"
Ivansensee,Royal Paladin,186,"103,848,936"
Royal Rofiss,Royal Paladin,154,"59,379,803"
Watach,Royal Paladin,158,"64,143,661"
Lelss,Elder Druid,164,"71,975,721"
Strca Tonitrus,Elder Druid,178,"92,158,925"
Crown the Spooky,Master Sorcerer,195,"121,460,053"
Devi Petydyna,Elder Druid,173,"83,843,746"
Cutchi,Elder Druid,185,"103,726,526"
Incredible Czolg,Elite Knight,154,"59,269,738"
Prawy Sprawiedliwy,Elite Knight,157,"62,642,506"
Puhau,Royal Paladin,164,"71,957,984"
Tu Xarthez,Master Sorcerer,178,"91,897,727"
Fury Lex,Elite Knight,173,"83,442,287"
Lecze Uhem,Elder Druid,185,"103,516,512"
Nekavis,Royal Paladin,154,"59,186,565"
Javali Pequeno,Elder Druid,157,"62,500,588"
Lari Hean,Elite Knight,164,"71,558,620"
Murcol,Master Sorcerer,178,"91,095,522"
Koro Kara,Royal Paladin,172,"83,187,609"
Jet Janek,Elder Druid,185,"103,247,579"
Kahiras,Elder Druid,154,"59,124,326"
Poznanski Handlarz,Royal Paladin,157,"62,206,739"
Pan paladin,Royal Paladin,164,"71,346,072"
Rasselas,Master Sorcerer,177,"90,663,143"
Lacroni,Master Sorcerer,172,"82,895,306"
Pogromca Borumir,Sorcerer,153,"58,159,273"
Mortal Moon,Master Sorcerer,157,"62,123,404"
Holy sword warrior,Elite Knight,164,"71,038,122"
Araais,Elder Druid,177,"90,544,555"
Hery,Master Sorcerer,172,"82,211,638"
Beny Krul,Elder Druid,153,"57,599,785"
Tongo Narago,Elder Druid,156,"61,930,985"
Sergerass,Royal Paladin,164,"70,888,005"
Saviolek Ed,Elder Druid,177,"90,285,315"
Mighty Hyypes,Master Sorcerer,172,"82,096,317"
Parasoleczek,Royal Paladin,152,"57,358,535"
Rhirin,Royal Paladin,156,"61,724,941"
Elysie Soulhealer,Elder Druid,164,"70,882,014"
Arazakid,Elite Knight,177,"90,258,311"
Vidar Stormhammer,Elite Knight,171,"81,123,770"
Lukas Smyrapitche,Master Sorcerer,152,"56,812,835"
Spyrai Sandra,Master Sorcerer,156,"61,436,857"
Aviana Sio,Elder Druid,163,"70,059,597"
Demogorgo,Elder Druid,171,"81,066,966"
Creaturka Damora,Elder Druid,152,"56,791,530"
Nohil Drudanobin,Elder Druid,156,"61,428,976"
Elaivne,Master Sorcerer,163,"70,056,066"
Crazy Koj Raider,Master Sorcerer,170,"79,392,504"
Lythena Markenthal,Elder Druid,151,"55,467,709"
Blaantooman,Elder Druid,156,"61,428,206"
Nythan,Elder Druid,162,"69,551,014"
Rabin Hood,Royal Paladin,151,"55,217,726"
Jotun Hepta,Elite Knight,156,"61,413,197"
Biernak,Elder Druid,162,"69,077,950"
Coode,Master Sorcerer,150,"54,899,742"
Guzikson,Royal Paladin,156,"61,371,594"
Dzelobiceps,Master Sorcerer,162,"68,382,176"
Sir Green Pepper,Elder Druid,150,"54,530,564"
Nejos,Elite Knight,156,"61,248,131"
Baalzebuv,Elder Druid,161,"67,924,826"
Blocker Tom,Elite Knight,150,"54,323,943"
Scourer,Elite Knight,156,"60,913,822"
Skylea,Elder Druid,150,"54,315,476"
Kulka Rogue,Royal Paladin,155,"60,332,822"
Moris The Druid,Elder Druid,150,"54,264,427"
Eleryo,Elder Druid,155,"60,218,501"
Czarus Nieogarus,Royal Paladin,150,"54,048,270"
Dous Mick,Master Sorcerer,149,"53,733,927"
Guzleman,Druid,149,"53,069,352"
